"community,price,area,layout,site,total_height,toward,built_year"
"双瑞藏龙湾花园,240,95.0,3室2厅,低,47.0,北,2021-01-01"
"正方深悦湾花园,220,99.0,4室2厅,中,12.0,南,2021-01-01"
"双瑞藏龙湾花园,220,75.0,2室2厅,低,47.0,西南,2021-01-01"
"双瑞藏龙湾花园,299,95.0,3室2厅,高,47.0,南北,2019-01-01"
"双瑞藏龙湾花园,360,128.0,4室2厅,低,45.0,南北,2019-01-01"
"锦绣四季花园三期,120,63.0,2室2厅,中,28.0,南北,2019-01-01"
"中海寰宇天下,310,97.0,3室2厅,中,22.0,东南,2020-01-01"
"都会四季,167,79.0,3室2厅,中,28.0,东南,2021-01-01"
"中海寰宇天下,357,105.0,3室2厅,低,22.0,东南,2020-01-01"
"正方深悦湾花园,175,77.0,3室2厅,低,25.0,南,2021-01-01"
"山东健康·家人乐府,230,99.0,4室2厅,低,15.0,南,2022-01-01"
"珠光锦程,179,85.0,2室2厅,低,23.0,南,2020-01-01"
"鹏瑞·珠澳湾中心,150,69.0,1室1厅,高,42.0,南,2022-01-01"
"锦绣四季花园三期,169,87.0,3室2厅,中,28.0,南北,2019-01-01"
"华发·湾玺壹号,1100,249.0,5室3厅,低,9.0,南北,2020-01-01"
"华发·湾玺壹号,415,143.0,4室2厅,中,31.0,南,2020-01-01"
"华发·湾玺壹号,590,169.0,5室2厅,低,9.0,南北,2020-01-01"
"华发·湾玺壹号,315,113.0,4室2厅,中,31.0,南,2020-01-01"
"恒虹世纪广场,275,98.0,3室2厅,高,32.0,南,2024-01-01"
"恒虹世纪广场,199,67.0,2室2厅,中,32.0,南,2024-01-01"
"颐景山庄,263,94.0,3室2厅,中,26.0,南北,2024-01-01"
"国维中央广场,127,69.0,1室2厅,中,33.0,东南,2019-01-01"
"华发峰景湾,293,97.97,3室2厅,中,38.0,南,2017-01-01"
"华发琴澳新城·银景湾,285,100.0,3室2厅,低,32.0,南,2022-01-01"
"绿景玺悦湾,410,122.0,3室2厅,中,31.0,南,2021-01-01"
"中海寰宇天下,432,127.0,4室2厅,低,22.0,南北,2021-01-01"
"绿景玺悦湾,460,143.0,4室2厅,低,32.0,南北,2021-01-01"
"双瑞藏龙湾花园,228,95.0,3室2厅,低,32.0,南,2019-01-01"
"乐而居花园,185,113.9,3室2厅,中,31.0,东南,2020-01-01"
"华发琴澳新城·银景湾,145,52.0,1室2厅,中,31.0,南,2020-01-01"
"正方南湾首府,180,76.0,3室2厅,中,32.0,南北,2018-01-01"
"招商花园城二期,248,87.26,3室2厅,中,26.0,南,2012-01-01"
"乐而居花园,190,113.9,3室2厅,低,31.0,东南,2020-01-01"
"中海寰宇天下,399,114.63,3室2厅,高,22.0,东南,2020-01-01"
"正方南湾首府,209,85.0,3室2厅,低,32.0,南北,2018-01-01"
"乐而居花园,231,141.0,4室2厅,中,27.0,南北,2019-01-01"
"华发琴澳新城·银景湾,215,81.0,2室2厅,中,31.0,南,2020-01-01"
"华发琴澳新城·银景湾,149,53.0,1室2厅,中,31.0,南,2020-01-01"
"中海寰宇天下,320,97.0,3室2厅,中,22.0,东南,2020-01-01"
"绿景玺悦湾,499,165.0,4室2厅,中,30.0,南北,2021-01-01"
"华发琴澳新城·银景湾,268,99.0,3室2厅,中,31.0,南北,2020-01-01"
"中海寰宇天下,435,129.0,4室2厅,高,22.0,南北,2020-01-01"
"华发琴澳新城·银景湾,131,50.0,1室2厅,中,31.0,南,2019-01-01"
"五洲花城三期,688,168.14,5室2厅,低,32.0,南北,2020-01-01"
"正方云曦山,243,115.0,4室2厅,低,32.0,南,2020-01-01"
"华策南湾国际,230,91.22,3室2厅,低,31.0,东南,2014-01-01"
"绿景玺悦湾,800,258.0,5室2厅,低,32.0,南,2021-01-01"
"华发峰景湾,288,100.37,3室2厅,低,38.0,南北,2017-01-01"
"世邦佰亚燕都,117,58.0,2室2厅,中,23.0,南,2015-01-01"
"华发山庄,472,144.34,3室2厅,高,12.0,南,2016-01-01"
"中海寰宇天下,300,86.0,3室2厅,中,31.0,南北,2020-01-01"
"华策南湾国际,234,91.23,3室2厅,低,32.0,西南,2014-01-01"
"乐而居花园,1185,113.99,3室2厅,中,26.0,南北,2020-01-01"
"乐而居花园,186,113.0,3室2厅,低,31.0,东南,2020-01-01"
"绿景玺悦湾,566,188.0,4室2厅,中,30.0,南北,2021-01-01"
"绿景玺悦湾,415,143.0,4室2厅,中,19.0,南,2021-01-01"
"琴澳新城四季半岛钻石,415,141.0,3室2厅,中,31.0,南,2020-01-01"
"三好名苑,352,121.99,3室2厅,中,17.0,南,2005-01-01"
"万科城,218,89.0,3室2厅,中,26.0,东南,2019-01-01"
"仁恒星园,408,131.52,3室2厅,中,28.0,南北,2011-01-01"
"恒翠山庄,150,72.94,2室2厅,高,6.0,南北,2002-01-01"
"丰达花园,176,103.33,4室2厅,顶,8.0,西南,1993-01-01"
"中信红树湾南区,850,205.86,4室2厅,中,31.0,东北,2019-01-01"
"华发山庄,340,143.86,3室2厅,低,11.0,南北,2016-01-01"
"城市印象,420,171.96,4室2厅,中,18.0,南,2007-01-01"
"红树别院,270,116.42,3室2厅,中,15.0,南北,2017-01-01"
"公园里,195,103.0,3室2厅,低,30.0,南,2008-01-01"
"富柠街住宅,110,66.01,2室2厅,高,7.0,东南,1998-01-01"
"锦绣柠溪,175,83.28,3室2厅,高,11.0,南,2003-01-01"
"绿景喜悦荟,97,45.0,2室2厅,中,32.0,东南,2019-01-01"
"中珠九悦,428,153.91,5室2厅,高,17.0,南北,2011-01-01"
"中珠九悦,368,124.53,3室2厅,低,28.0,南,2012-01-01"
"岭南世家荣景园,320,142.0,4室2厅,低,11.0,东南,2006-01-01"
"华发新城六期,209,88.7,3室2厅,中,27.0,北,2006-01-01"
"鸿泰溪城,318,125.08,3室2厅,中,18.0,东南,2007-01-01"
"三好名苑,410,157.0,4室2厅,高,16.0,南北,2005-01-01"
"丰达花园,139,103.33,4室2厅,低,8.0,南,1995-01-01"
"招商花园城二期,450,152.92,4室2厅,中,24.0,南,2010-01-01"
"云山诗意,612,192.74,4室2厅,低,28.0,东南,2008-01-01"
"锦绣柠溪,310,122.62,3室2厅,高,17.0,东南,2003-01-01"
"恒荣城市溪谷,500,165.0,4室2厅,高,37.0,南北,2018-01-01"
"棕榈四季,160,92.77,3室2厅,中,20.0,南,2011-01-01"
"宏大花园,116.8,78.83,2室2厅,低,20.0,南,1995-01-01"
"卓雅花园,110,85.08,3室2厅,低,7.0,北,2000-01-01"
"华发新城六期,153,70.0,2室1厅,高,28.0,南,2013-01-01"
"康泰新苑,178,90.0,2室2厅,高,17.0,南,2007-01-01"
"盈彩美居,415,110.78,3室2厅,低,17.0,南北,2008-01-01"
"珠光里程花园,500,94.81,3室2厅,低,31.0,东南,2000-01-01"
"五洲康城,184,98.51,3室2厅,高,11.0,北,2006-01-01"
"福康花园,425,142.7,4室2厅,高,20.0,东南,2016-01-01"
"粤龙阁,230,164.37,4室1厅,高,7.0,南,1997-01-01"
"岭南世家荣景园,320,142.0,4室2厅,低,11.0,东南,2006-01-01"
"吉宁山庄,258,108.21,3室2厅,高,11.0,南,2004-01-01"
"世邦佰亚燕都,178,89.0,3室2厅,高,32.0,南,2015-01-01"
"山东健康·家人乐府,298,125.0,4室2厅,低,15.0,南,2022-01-01"
"福康花园,440,142.7,4室2厅,高,20.0,东南,2016-01-01"
"鸿泰溪城,230,113.11,3室2厅,高,18.0,南北,2007-01-01"
"万科珠宾花园,680,137.46,4室2厅,高,31.0,南,2006-01-01"
"仁恒星园,408,131.52,3室2厅,中,28.0,南北,2011-01-01"
"福康花园,130,80.77,2室1厅,低,11.0,南,1996-01-01"
"中信红树湾南区,850,205.86,4室2厅,中,31.0,东北,2019-01-01"
"华发城建四季半岛,248,97.84,3室2厅,高,31.0,南,2018-01-01"
"华发四季半岛钻石湾,350,141.0,3室2厅,中,31.0,南,2024-01-01"
"万和国际公馆二期,350,170.0,4室2厅,中,14.0,南北,2009-01-01"
"和协绿城,170,89.23,3室2厅,中,12.0,东,2007-01-01"
"锦绣柠溪,175,83.28,3室2厅,高,11.0,南,2003-01-01"
"恒翠山庄,298,133.16,4室2厅,高,6.0,南北,2004-01-01"
"荔景园,218,90.0,3室2厅,中,17.0,南,2010-01-01"
"锦绣柠溪,320,150.0,5室2厅,顶,17.0,南,2003-01-01"
"山东健康·家人乐府,280,125.0,4室2厅,低,15.0,南,2022-01-01"
"仁恒星园,450,161.43,3室2厅,高,30.0,西北,2010-01-01"
"金域华府,178,56.8,2室2厅,高,32.0,东,2003-01-01"
"宏大花园,116.8,78.83,2室2厅,低,20.0,南,1995-01-01"
"锦绣柠溪,280,121.62,3室2厅,高,17.0,南,2003-01-01"
"长环新村,120,80.14,3室2厅,中,8.0,北,1995-01-01"
"金地伊顿山,375,112.25,3室2厅,低,31.0,南北,2013-01-01"
"绿景玺悦湾,410,142.49,4室2厅,低,41.0,南北,2023-01-01"
"卓雅花园,110,85.08,3室2厅,低,7.0,北,2000-01-01"
"华发山庄,354,144.34,3室2厅,高,11.0,南北,2015-01-01"
"公园里,195,103.0,3室2厅,低,30.0,南,2008-01-01"
"三好名苑,410,157.0,4室2厅,高,16.0,南北,2005-01-01"
"丰达花园,176,103.33,4室2厅,顶,8.0,西南,1993-01-01"
"鸿翠阁,200,99.0,3室2厅,中,24.0,西北,2011-01-01"
"中星广场,43.9,40.0,2室1厅,中,37.0,南北,1998-01-01"
"中铁·诺德国际,335,108.05,3室2厅,高,28.0,西南,2018-01-01"
"红树别院,270,116.0,3室2厅,中,13.0,东南,2018-01-01"
"珠光里程花园,540,127.0,4室2厅,高,31.0,南,2024-01-01"
"正方深悦湾花园,185,89.0,3室2厅,底,6.0,南,2006-01-01"
"华发城建四季半岛,240,102.85,3室2厅,高,32.0,南北,2015-01-01"
"华业香庄,140,85.83,2室2厅,低,18.0,南,2006-01-01"
"中信红树湾一期,500,159.5,4室2厅,高,32.0,东北,2012-01-01"
"亨泰山庄,512,168.85,4室2厅,低,14.0,南,2006-01-01"
"学府道,316,111.78,3室2厅,中,11.0,南北,2005-01-01"
"红树别院,270,116.42,3室2厅,中,15.0,南北,2017-01-01"
"鸿泰溪城,318,125.08,3室2厅,中,18.0,东南,2007-01-01"
"春泽名园,148,84.94,3室2厅,底,11.0,南,2003-01-01"
"银桦新村,220,104.0,3室2厅,低,7.0,南,1997-01-01"
"欧柏美地,360,138.47,3室2厅,中,19.0,南,2007-01-01"
"锦绣柠溪,310,122.62,3室2厅,高,17.0,东南,2003-01-01"
"优仕雅苑,278,117.05,3室2厅,中,11.0,南,2010-01-01"
"丰达花园,139,103.33,4室2厅,低,8.0,南,1995-01-01"
"珠光里程花园,540,127.0,4室2厅,高,31.0,南,2024-01-01"
"御龙山庄,308,146.61,4室2厅,低,8.0,南,2004-01-01"
"恒荣城市溪谷,500,165.0,4室2厅,高,37.0,南北,2018-01-01"
"五洲花城三期,645,145.0,4室2厅,中,32.0,北,2024-01-01"
"双竹街,85,63.64,2室1厅,高,8.0,西,2009-01-01"
"南村豪苑,213,104.0,3室2厅,高,7.0,南,2002-01-01"
"华发城建四季半岛,248,96.81,3室2厅,低,33.0,南,2020-01-01"
"华发峰景名苑,206.78,91.38,3室2厅,高,11.0,南,2013-01-01"
"恒翠山庄,298,133.16,4室2厅,高,6.0,南北,2004-01-01"
"华发新城三期,388,194.0,4室2厅,中,29.0,南北,2010-01-01"
"南村豪苑,213,104.0,3室2厅,高,7.0,南,2002-01-01"
"红树别院,280,118.63,3室2厅,中,13.0,东南,2018-01-01"
"仁恒星园,408,131.52,3室2厅,中,28.0,南北,2011-01-01"
"豪晖花园,120,107.03,3室1厅,底,7.0,南,1995-01-01"
"鸿泰溪城,185,83.85,3室2厅,低,21.0,南,2007-01-01"
"中信红树湾南区,495,151.9,4室2厅,中,32.0,西南,2015-01-01"
"宏大花园,116.8,78.83,2室2厅,低,20.0,南,1995-01-01"
"福康花园,228,134.3,4室2厅,中,11.0,东南,2019-01-01"
"优仕雅苑,278,117.05,3室2厅,中,11.0,南,2010-01-01"
"锦绣柠溪,310,122.62,3室2厅,高,17.0,东南,2003-01-01"
"中信红树湾一期,500,159.5,4室2厅,高,32.0,东北,2012-01-01"
"福康花园,130,80.77,2室1厅,低,11.0,南,1996-01-01"
"公园里,195,103.0,3室2厅,低,30.0,南,2008-01-01"
"盈彩美居,415,110.78,3室2厅,低,17.0,南北,2008-01-01"
"恒荣城市溪谷,500,165.0,4室2厅,高,37.0,南北,2018-01-01"
"五洲康城,184,98.51,3室2厅,高,11.0,北,2006-01-01"
"荔景园,218,90.0,3室2厅,中,17.0,南,2010-01-01"
"丰达花园,139,103.33,4室2厅,低,8.0,南,1995-01-01"
"华发山庄,354,144.34,3室2厅,高,11.0,南北,2015-01-01"
"鸿泰溪城,318,125.08,3室2厅,中,18.0,东南,2007-01-01"
"华发山庄,460,172.99,4室2厅,低,17.0,南,2016-01-01"
"丰达花园,176,103.33,4室2厅,顶,8.0,西南,1993-01-01"
"棕榈四季,160,92.77,3室2厅,中,20.0,南,2011-01-01"
"岭南世家华景园,195,102.72,3室2厅,中,12.0,南,2003-01-01"
"水木清华园,340,125.37,3室2厅,高,18.0,南北,2011-01-01"
"富柠街住宅,110,66.01,2室2厅,高,7.0,东南,1998-01-01"
"中星广场,43.9,40.0,2室1厅,中,37.0,南北,1998-01-01"
"万科珠宾花园,645,189.14,4室2厅,低,30.0,南,2013-01-01"
"金域华府,295,77.39,3室2厅,高,18.0,东南,2014-01-01"
"华发新城六期,209,88.7,3室2厅,中,27.0,北,2006-01-01"
"御龙山庄,308,146.61,4室2厅,低,8.0,南,2004-01-01"
"珠光里程花园,540,127.0,4室2厅,高,31.0,南,2024-01-01"
"中信红树湾一期,380,119.0,3室2厅,高,32.0,东南,2011-01-01"
"五洲花城三期,580,119.68,4室2厅,中,32.0,南,2024-01-01"
"朗晴居,160,78.88,2室2厅,高,11.0,北,2003-01-01"
"和协绿城,170,89.23,3室2厅,中,12.0,东,2007-01-01"
"华发山庄,430,170.0,4室2厅,高,17.0,南,2015-01-01"
"金地伊顿山,375,112.25,3室2厅,低,31.0,南北,2013-01-01"
"华发山庄,340,143.86,3室2厅,低,11.0,南北,2016-01-01"
"中海富华里,205,92.71,2室2厅,中,29.0,南,2015-01-01"
"中星广场,89.9,61.0,1室1厅,中,26.0,南北,2020-01-01"
"双瑞藏龙湾花园,210,75.0,2室2厅,低,47.0,西南,2021-01-01"
"银石雅园,228,108.0,3室2厅,中,17.0,南北,2003-01-01"
"珠光锦程,286,120.0,3室2厅,中,17.0,南北,2020-01-01"
"龙光玖云汇住宅,255,132.0,4室2厅,中,30.0,南,2020-01-01"
"华发国际海岸,248,98.86,3室2厅,中,30.0,东南,2018-01-01"
"华发新城六期,390,139.6,3室2厅,中,18.0,南,2011-01-01"
"仁恒星园,360,132.06,3室2厅,中,28.0,北,2018-01-01"
"华发新城二期,330,129.0,3室2厅,中,18.0,南,2005-01-01"
"华发峰景湾,475,169.69,4室2厅,中,29.0,东南,2017-01-01"
"华发峰景湾,320,135.72,4室2厅,低,38.0,南北,2017-01-01"
"五洲花城二期,500,135.67,3室2厅,中,32.0,南,2018-01-01"
"龙光玖云汇,230,117.68,4室2厅,中,16.0,北,2018-01-01"
"五洲花城山场,248,87.89,3室2厅,低,11.0,南,2006-01-01"
"华策南湾国际,280,125.05,4室2厅,高,32.0,东北,2014-01-01"
"红树别院,220,86.86,3室2厅,中,15.0,西南,2016-01-01"
"华发琴澳新城·银景湾,240,100.0,3室2厅,低,32.0,南,2022-01-01"
"龙光玖云汇住宅,200,103.83,3室2厅,低,32.0,南北,2018-01-01"
"财富世家,139,80.89,2室2厅,中,11.0,北,2008-01-01"
"五洲花城山场,330,125.57,4室2厅,高,11.0,北,2006-01-01"
"金溪花园,132,106.01,3室2厅,顶,7.0,南北,1996-01-01"
"绿景喜悦荟商务中心商,50,45.0,1室1厅,高,25.0,南,2020-01-01"
"华策南湾国际,280,125.05,4室2厅,高,32.0,东北,2014-01-01"
"红树别院,270,118.67,3室2厅,低,13.0,南北,2018-01-01"
"颐璟名庭,161,76.0,3室2厅,中,22.0,南北,2019-01-01"
"中海寰宇天下,580,169.0,4室2厅,中,25.0,南北,2020-01-01"
"中海环宇城,228,85.53,2室2厅,低,38.0,东北,2019-01-01"
"仁恒星园,255,94.7,3室1厅,高,30.0,东南,2012-01-01"
"绿景喜悦荟,110,47.0,1室1厅,高,32.0,东南,2019-01-01"
"南村豪苑,220,97.64,3室2厅,高,7.0,东,2003-01-01"
"柠溪邮电宿舍,120,82.07,3室2厅,高,7.0,南北,1998-01-01"
"中铁·诺德国际,372,140.0,4室2厅,高,33.0,南,2018-01-01"
"华发城建四季半岛,188,75.26,2室2厅,高,33.0,东北,2021-01-01"
"尚东领御,570,191.0,4室2厅,高,47.0,南,2012-01-01"
"仁恒星园,250,94.84,3室1厅,高,30.0,南,2012-01-01"
"中海寰宇天下,580,169.0,4室2厅,中,25.0,南北,2020-01-01"
"华发国际海岸,248,98.86,3室2厅,中,30.0,东南,2018-01-01"
"宝地康泰花园,300,144.25,3室2厅,底,17.0,南北,2004-01-01"
"华发四季,650,176.47,4室2厅,高,18.0,南,2014-01-01"
"凤山府,180,73.0,3室2厅,中,27.0,东南,2013-01-01"
"华发四季,605,154.09,4室2厅,中,31.0,南,2014-01-01"
"万科珠宾花园,650,189.34,4室2厅,高,29.0,南北,2011-01-01"
"朗晴居,198,106.53,3室2厅,高,6.0,南北,2019-01-01"
"朗晴居,188,106.58,3室2厅,顶,6.0,东南,2003-01-01"
"华发山庄,475,172.99,4室2厅,中,17.0,南北,2016-01-01"
"华发新城五期,430,192.0,5室2厅,低,29.0,南,2009-01-01"
"华发新城二期,330,129.0,3室2厅,中,18.0,南,2005-01-01"
"格力海云居,130,69.0,2室2厅,中,25.0,南北,2020-01-01"
"华发新城五期,480,201.98,4室2厅,中,29.0,西南,2006-01-01"
"国维中央广场,268,87.69,3室2厅,低,48.0,东南,2021-01-01"
"世邦佰亚燕都,185,88.42,3室2厅,顶,32.0,南,2017-01-01"
"仁恒星园,380,144.56,3室2厅,中,18.0,南,2008-01-01"
"香宁花园,92,70.0,3室2厅,中,7.0,南,1993-01-01"
"五洲花城澳洲园,500,166.7,5室2厅,中,17.0,南北,2004-01-01"
"华发新城三期,528,194.0,4室2厅,中,29.0,南北,2010-01-01"
"五洲花城二期,535,142.74,4室2厅,低,32.0,北,2012-01-01"
"五洲花城二期,500,135.67,3室2厅,中,32.0,南,2018-01-01"
"世邦佰亚燕都,175,88.32,3室2厅,高,32.0,南,2015-01-01"
"五洲花城C区,275,91.58,3室2厅,高,11.0,北,2014-01-01"
"五洲花城山场,248,87.89,3室2厅,低,11.0,南,2006-01-01"
"云顶澜山,275,146.0,4室2厅,高,24.0,南北,2024-01-01"
"中珠上城,340,141.68,4室2厅,高,17.0,西南,2008-01-01"
"五洲花城澳洲园,590,191.0,4室2厅,中,17.0,南北,2004-01-01"
"恒翠山庄,160,72.0,2室2厅,低,6.0,南北,2002-01-01"
"世邦佰亚燕都,83,40.43,1室1厅,中,25.0,南,2017-01-01"
"华发四季半岛钻石湾,500,177.0,3室2厅,中,31.0,南北,2020-01-01"
"金域华府,370,97.0,4室2厅,高,32.0,南,2003-01-01"
"华发峰景湾,475,169.69,4室2厅,中,29.0,东南,2017-01-01"
"仁恒滨海中心,1220,235.0,3室2厅,低,25.0,南北,2015-01-01"
"华发山庄,335,143.86,3室2厅,中,11.0,南,2015-01-01"
"华发四季,660,188.67,4室2厅,低,11.0,南,2013-01-01"
"华发世纪城四期,550,190.8,4室2厅,中,12.0,南北,2010-01-01"
"华发四季,760,191.0,4室2厅,低,31.0,南,2014-01-01"
"华发城建未来荟,148,85.65,3室2厅,高,37.0,南,2017-01-01"
"华发山庄,460,191.8,4室2厅,低,17.0,南北,2016-01-01"
"中海寰宇天下,580,169.0,4室2厅,中,25.0,南北,2020-01-01"
"华发未来荟,150,85.73,3室2厅,低,38.0,南,2014-01-01"
"芭堤雅境,200,110.3,3室2厅,高,16.0,南北,2008-01-01"
"五洲花城山场,330,125.57,4室2厅,高,11.0,北,2006-01-01"
"红树别院,270,118.67,3室2厅,低,13.0,南北,2018-01-01"
"华发新城三期,288,134.28,3室2厅,高,27.0,南,2007-01-01"
"华发山庄,475,172.99,4室2厅,中,17.0,南北,2016-01-01"
"五洲花城二期,800,174.0,6室2厅,高,32.0,南,2012-01-01"
"锦绣柠溪,156,76.83,2室2厅,高,7.0,南,2003-01-01"
"卓雅花园,90,66.03,2室1厅,顶,7.0,南,2000-01-01"
"云顶澜山,275,146.0,4室2厅,高,24.0,南北,2024-01-01"
"仁恒星园,390,143.86,3室2厅,低,16.0,南北,2007-01-01"
"银石雅园,228,108.0,3室2厅,中,17.0,南北,2003-01-01"
"华发四季,760,191.0,4室2厅,低,31.0,南,2014-01-01"
"华发琴澳新城四季峰景,215,89.83,3室2厅,高,32.0,东南,2022-01-01"
"龙光玖龙湾,326,108.41,3室2厅,中,50.0,南,2022-01-01"
"龙光玖云汇住宅,198,103.83,3室2厅,低,32.0,南北,2018-01-01"
"水木清华园,370,126.5,3室2厅,中,19.0,南,2006-01-01"
"华发山庄,320,115.12,3室2厅,低,12.0,南,2016-01-01"
"华发峰景湾,320,135.72,4室2厅,低,38.0,南北,2017-01-01"
"仁恒星园,360,131.7,3室2厅,中,30.0,北,2011-01-01"
"珠光里程花园,650,143.67,4室2厅,中,25.0,南北,2024-01-01"
"锦绣柠溪,280,133.27,4室2厅,高,11.0,南,2004-01-01"
"香宁花园,92,70.0,3室2厅,中,7.0,南,1993-01-01"
"仁恒星园,360,132.06,3室2厅,中,28.0,北,2018-01-01"
"龙光玖龙湾,323,108.41,3室2厅,低,50.0,南北,2017-01-01"
"仁恒星园,380,144.56,3室2厅,中,18.0,南,2008-01-01"
"优特绿城·桂语香山,440,114.0,3室2厅,高,32.0,南,2016-01-01"
"红树别院,220,86.86,3室2厅,中,15.0,西南,2016-01-01"
"欧柏美地,490,134.21,3室2厅,高,19.0,南,2007-01-01"
"世邦佰亚燕都,170,88.9,3室1厅,高,32.0,南,2017-01-01"
"五洲花城二期,535,142.74,4室2厅,低,32.0,北,2012-01-01"
"华发峰景湾,580,239.05,4室2厅,低,43.0,南,2015-01-01"
"万科城,210,110.99,4室2厅,低,30.0,南,2017-01-01"
"南村豪苑,169,76.56,2室2厅,高,7.0,西南,2003-01-01"
"华发世纪城四期,780,243.0,4室2厅,低,28.0,东西,2011-01-01"
"盛东·江山赋,700,224.82,4室2厅,中,31.0,南北,2018-01-01"
"世邦佰亚燕都,175,88.32,3室2厅,高,32.0,南,2015-01-01"
"华发新城三期,285,134.28,3室2厅,高,27.0,南,2007-01-01"
"中海寰宇天下,485,139.0,4室2厅,低,25.0,南北,2023-01-01"
"华发四季,690,176.47,4室2厅,高,18.0,南,2014-01-01"
"中珠上城,240,105.61,4室2厅,中,17.0,北,2008-01-01"
"华发四季,360,90.23,3室2厅,高,32.0,北,2014-01-01"
"恒隆御水岸,256,94.73,3室2厅,中,29.0,南,2017-01-01"
"华发新城六期,790,236.58,6室2厅,顶,18.0,南,2014-01-01"
"华发四季,605,154.09,4室2厅,中,31.0,南,2014-01-01"
"华发新城六期,380,139.6,3室2厅,中,18.0,南,2011-01-01"
"华发城建未来荟,148,85.65,3室2厅,高,37.0,南,2017-01-01"
"绿景喜悦荟,110,47.0,1室1厅,高,32.0,东南,2019-01-01"
"华发世纪城二期,525,198.57,4室2厅,中,29.0,东,2010-01-01"
"五洲花城C区,295,91.0,3室2厅,中,11.0,北,2014-01-01"
"山东健康·家人乐府,260,99.0,4室2厅,底,6.0,南,2024-01-01"
"五洲花城澳洲园,500,166.7,5室2厅,中,17.0,南北,2004-01-01"
"华发新城二期,330,129.0,3室2厅,中,18.0,南,2005-01-01"
"中铁·诺德国际,515,149.36,5室2厅,中,32.0,南北,2018-01-01"
"华发新城六期,390,139.6,3室2厅,中,18.0,南,2011-01-01"
"香溪庄一期,99,76.64,3室2厅,中,7.0,南,1994-01-01"
"华发世纪城四期,800,245.0,4室2厅,中,28.0,东,2011-01-01"
"盛东·江山赋,700,224.82,4室2厅,中,31.0,南北,2018-01-01"
"锦绣柠溪,280,133.27,4室2厅,高,11.0,南,2004-01-01"
"红树别院,270,118.67,3室2厅,低,13.0,南北,2018-01-01"
"水木清华园,505,204.39,6室2厅,高,18.0,南,2011-01-01"
"中信红树湾一期,255,82.82,4室2厅,低,31.0,东南,2014-01-01"
"金域华府,370,97.0,4室2厅,高,32.0,南,2003-01-01"
"华发峰景湾,475,169.69,4室2厅,中,29.0,东南,2017-01-01"
"华发峰景湾,320,135.72,4室2厅,低,38.0,南北,2017-01-01"
"华发城建未来荟,148,85.65,3室2厅,高,37.0,南,2017-01-01"
"五洲花城澳洲园,590,191.0,4室2厅,中,17.0,南北,2004-01-01"
"清华十二郡,210,77.08,3室2厅,底,11.0,西南,2012-01-01"
"华发四季,660,188.67,4室2厅,低,11.0,南,2013-01-01"
"尚东领御,570,191.0,4室2厅,高,47.0,南,2012-01-01"
